Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.875,11.163,8.360,10252,1.907
bar,0.876,20.409,7.401,10297,2.397
bar,0.934,29.860,7.532,10296,2.330
bar,0.904,39.267,7.464,10269,1.079
bar,0.936,48.605,7.427,10245,2.619
bar,0.860,58.000,7.536,10276,2.698
bar,0.878,67.380,7.465,10287,3.206
bar,0.902,76.771,7.536,10254,5.762
bar,0.889,85.911,7.293,10280,2.307
bar,0.856,95.255,7.498,10266,3.020
bar,0.851,104.545,7.456,10299,2.894
bar,0.901,113.823,7.387,10295,1.706
bar,0.821,123.133,7.513,10241,3.787
bar,0.913,132.427,7.406,10297,1.929
bar,0.916,141.925,7.556,10295,2.268
bar,0.782,151.474,7.732,10268,2.295
bar,0.786,160.325,7.030,10303,2.694
bar,0.806,169.621,7.404,10292,1.509
bar,0.729,178.678,7.281,10246,2.665
bar,0.761,188.024,7.482,10250,2.480
bar,0.786,197.217,7.326,10276,1.781
bar,0.774,206.401,7.352,10257,4.455
bar,0.762,215.426,7.219,10262,1.149
bar,0.747,224.408,7.198,10242,2.500
bar,0.799,233.399,7.126,10257,2.360
bar,0.744,242.178,7.004,10250,1.415
bar,0.809,251.406,7.323,10323,1.889
bar,0.709,260.281,7.150,10241,1.413
bar,0.763,269.367,7.268,10290,2.186
bar,0.815,278.213,6.988,10247,4.279
bar,0.739,286.957,6.997,10274,0.651
bar,0.786,295.861,7.097,10267,2.239
bar,0.722,304.776,7.176,10261,1.546
bar,0.744,313.438,6.894,10242,2.875
bar,0.732,322.251,7.039,10301,2.808
bar,0.761,331.064,7.029,10249,1.958
bar,0.723,340.148,7.365,10248,4.535
bar,0.781,349.100,7.140,10299,2.707
bar,0.731,358.091,7.203,10258,1.021
bar,0.761,366.978,7.097,10291,5.581
bar,0.781,376.165,7.338,10268,2.548
bar,0.752,385.043,7.097,10266,0.915
bar,0.713,394.284,7.442,10305,1.934
bar,0.730,403.619,7.371,10300,0.844
bar,0.775,412.827,7.352,10275,2.303
bar,0.789,421.659,7.005,10257,4.687
bar,0.819,430.855,7.316,10307,1.197
bar,0.769,439.914,7.226,10256,1.159
bar,0.780,449.404,7.638,10290,1.305
bar,0.758,458.667,7.455,10298,1.437
bar,0.803,467.617,7.093,10281,1.057
bar,0.755,476.763,7.328,10250,1.702
bar,0.697,485.997,7.454,10336,2.904
bar,0.724,495.092,7.294,10294,1.989
bar,0.727,504.130,7.285,10268,1.514
bar,0.746,513.182,7.234,10304,2.220
bar,0.795,522.293,7.245,10242,2.745
bar,0.779,531.288,7.166,10292,1.475
bar,0.754,540.308,7.210,10272,1.964
bar,0.723,549.350,7.282,10268,2.784
bar,0.745,558.344,7.203,10271,1.473
bar,0.764,567.432,7.267,10252,1.321
bar,0.792,576.392,7.133,10317,2.618
bar,0.790,585.568,7.324,10305,2.056
bar,0.754,594.610,7.241,10349,1.566
bar,0.755,603.560,7.152,10272,0.833
bar,0.790,612.801,7.372,10291,3.025
bar,0.749,621.922,7.305,10245,1.687
bar,0.805,631.238,7.428,10271,1.097
bar,0.779,640.213,7.156,10327,1.819
bar,0.769,649.206,7.192,10301,1.305
bar,0.782,658.232,7.223,10293,2.046
bar,0.736,667.173,7.176,10247,1.733
bar,0.720,676.218,7.272,10303,1.317
bar,0.770,685.230,7.189,10303,3.067
bar,0.788,694.279,7.208,10247,1.530
bar,0.782,703.528,7.394,10271,1.596
bar,0.769,712.572,7.246,10261,1.076
bar,0.757,721.675,7.271,10298,4.234
bar,0.764,730.687,7.242,10249,4.360
bar,0.733,739.694,7.239,10285,2.036
bar,0.719,748.600,7.152,10301,1.819
bar,0.769,757.822,7.428,10259,1.448
bar,0.801,766.962,7.248,10249,2.081
bar,0.783,776.075,7.226,10302,3.187
bar,0.822,785.152,7.193,10253,2.190
bar,0.802,794.267,7.292,10255,2.654
bar,0.787,803.457,7.250,10302,3.426
bar,0.756,812.415,7.161,10259,2.210
bar,0.724,821.143,7.040,10261,5.052
bar,0.778,830.225,7.241,10272,1.970
bar,0.716,839.225,7.212,10244,2.237
bar,0.783,848.237,7.204,10253,1.557
bar,0.806,857.587,7.441,10270,2.138
bar,0.769,866.681,7.260,10248,3.064
bar,0.780,875.806,7.287,10256,2.235
bar,0.776,884.964,7.342,10344,2.833
bar,0.740,894.243,7.457,10286,3.292
bar,0.775,903.500,7.431,10255,2.764
bar,0.781,912.781,7.455,10285,2.958
bar,0.716,922.045,7.494,10262,2.374
bar,0.734,930.776,6.974,10247,2.213
