Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.113,2.263,1.309,1134,-1.062
bar,0.093,3.392,0.869,1146,-1.062
bar,0.078,4.511,0.879,1038,-0.880
bar,0.080,5.593,0.852,1029,-0.249
bar,0.090,6.734,0.875,1105,nan
bar,0.084,7.783,0.803,1029,6.782
bar,0.086,8.766,0.755,1151,3.066
bar,0.079,9.876,0.870,1071,11.319
bar,0.093,11.043,0.896,1084,7.465
bar,0.092,12.140,0.849,1079,5.461
bar,0.077,12.896,0.576,1040,nan
bar,0.096,13.966,0.826,1045,2.607
bar,0.071,15.084,0.887,1032,11.322
bar,0.086,16.189,0.854,1048,12.147
bar,0.087,17.112,0.703,1040,nan
bar,0.087,18.165,0.820,1047,10.497
bar,0.082,19.236,0.850,1040,nan
bar,0.090,20.350,0.861,1064,11.306
bar,0.088,21.339,0.759,1040,nan
bar,0.097,22.437,0.839,1079,11.733
bar,0.087,23.354,0.694,1040,nan
bar,0.088,24.518,0.908,1046,7.078
bar,0.084,25.403,0.674,1072,3.063
bar,0.095,26.514,0.843,1030,-0.158
bar,0.093,27.592,0.825,1040,nan
bar,0.086,28.706,0.856,1133,5.337
bar,0.092,29.673,0.731,1061,3.686
bar,0.099,30.767,0.840,1038,6.532
bar,0.075,31.756,0.766,1025,-1.082
bar,0.097,32.861,0.838,1071,11.319
bar,0.081,33.920,0.822,1040,nan
bar,0.094,34.953,0.778,1132,11.323
bar,0.106,36.123,0.887,1124,12.613
bar,0.086,37.282,0.897,1081,9.583
bar,0.078,38.306,0.797,1037,11.319
bar,0.093,39.308,0.765,1033,11.292
bar,0.077,40.317,0.781,1035,5.550
bar,0.088,41.356,0.801,1037,-1.062
bar,0.084,42.501,0.887,1071,11.319
bar,0.079,43.547,0.808,1086,11.871
bar,0.078,44.612,0.825,1073,11.252
bar,0.082,45.705,0.850,1055,8.373
bar,0.086,46.725,0.818,1040,nan
bar,0.082,47.622,0.724,1040,nan
bar,0.091,48.680,0.844,1069,11.321
bar,0.088,49.817,0.874,1034,7.667
bar,0.085,50.796,0.743,1040,nan
bar,0.102,51.788,0.746,1079,11.733
bar,0.093,52.892,0.842,1067,8.837
bar,0.085,54.046,0.883,1109,5.511
bar,0.090,55.124,0.850,1070,11.320
bar,0.083,56.235,0.848,1083,5.333
bar,0.076,57.251,0.785,1073,5.336
bar,0.090,58.354,0.845,1035,2.475
bar,0.093,59.370,0.786,1082,5.333
bar,0.094,60.391,0.779,1040,nan
bar,0.087,61.365,0.741,1040,nan
bar,0.089,62.504,0.875,1105,nan
bar,0.079,63.588,0.843,1051,5.304
bar,0.099,64.667,0.818,1072,1.573
bar,0.080,65.679,0.781,1031,5.267
bar,0.081,66.650,0.745,1104,2.240
bar,0.085,67.753,0.855,1037,-1.062
bar,0.082,68.869,0.870,1062,-0.739
bar,0.092,69.969,0.848,1070,11.320
bar,0.075,70.993,0.803,1062,7.473
bar,0.081,71.978,0.759,1029,4.300
bar,0.081,73.073,0.855,1042,3.341
bar,0.089,74.038,0.731,1040,nan
bar,0.098,75.067,0.778,1048,12.147
bar,0.077,76.190,0.876,1040,nan
bar,0.085,77.172,0.759,1073,9.672
bar,0.089,78.284,0.859,1040,nan
bar,0.097,79.256,0.735,1049,11.734
bar,0.083,80.329,0.843,1079,11.733
bar,0.073,81.422,0.870,1040,nan
bar,0.081,82.480,0.841,1059,6.396
bar,0.087,83.465,0.762,1036,11.320
bar,0.083,84.370,0.684,1040,nan
bar,0.074,85.383,0.786,1035,11.320
bar,0.084,86.484,0.862,1037,12.124
bar,0.081,87.499,0.781,1067,9.272
bar,0.082,88.615,0.877,1048,12.147
bar,0.095,89.604,0.755,1040,nan
bar,0.079,90.643,0.821,1056,12.147
bar,0.084,91.740,0.852,1071,11.319
bar,0.080,92.739,0.777,1078,11.734
bar,0.084,93.780,0.806,1040,nan
bar,0.081,94.760,0.758,1053,12.149
bar,0.079,95.798,0.812,1047,8.083
bar,0.087,96.783,0.754,1040,nan
bar,0.092,97.950,0.895,1079,11.733
bar,0.090,99.048,0.856,1048,12.147
bar,0.089,99.989,0.750,1048,12.147
bar,0.081,100.964,0.757,1060,11.278
bar,0.099,102.033,0.818,1039,3.342
bar,0.072,103.106,0.845,1040,nan
bar,0.088,104.198,0.842,1030,5.129
bar,0.102,105.101,0.673,1034,-1.062
bar,0.088,106.108,0.775,1043,0.430
bar,0.083,107.221,0.860,1076,-1.077
bar,0.086,108.346,0.876,1074,5.331
bar,0.093,109.371,0.779,1074,-1.072
bar,0.093,110.281,0.687,1035,-1.060
bar,0.100,111.329,0.781,1040,nan
bar,0.098,112.456,0.861,1071,11.319
bar,0.094,113.464,0.770,1039,9.887
bar,0.096,114.564,0.831,1036,11.320
bar,0.094,115.659,0.843,1074,6.540
bar,0.098,116.648,0.745,1040,nan
bar,0.093,117.580,0.731,1040,nan
bar,0.080,118.598,0.810,1056,2.667
bar,0.080,119.657,0.823,1073,5.336
bar,0.081,120.724,0.828,1082,0.363
bar,0.094,121.777,0.800,1072,1.829
bar,0.092,122.811,0.781,1071,-1.062
bar,0.088,123.893,0.830,1081,-1.062
bar,0.078,124.950,0.823,1087,-1.062
bar,0.075,125.973,0.803,1093,-1.062
bar,0.092,127.108,0.876,1152,5.551
bar,0.077,128.169,0.825,1052,-0.851
bar,0.093,129.072,0.676,1056,2.035
bar,0.091,130.229,0.885,1041,4.062
bar,0.079,131.298,0.840,1055,2.737
bar,0.076,132.306,0.773,1040,nan
bar,0.100,133.369,0.825,1067,5.129
bar,0.081,134.379,0.775,1040,nan
bar,0.075,135.325,0.731,1056,5.063
bar,0.083,136.367,0.806,1048,12.147
bar,0.096,137.484,0.868,1071,11.319
bar,0.089,138.535,0.809,1048,9.949
bar,0.101,139.629,0.829,1078,11.734
bar,0.088,140.657,0.791,1109,-0.697
bar,0.084,141.747,0.850,1040,nan
bar,0.104,142.704,0.717,1045,11.595
bar,0.085,143.775,0.864,1113,12.147
bar,0.091,144.879,0.858,1037,11.319
bar,0.093,145.902,0.785,1070,11.320
bar,0.089,146.889,0.765,1067,11.323
bar,0.089,147.988,0.853,1051,1.729
bar,0.100,149.085,0.839,1078,9.701
bar,0.092,150.173,0.845,1043,12.219
bar,0.098,151.155,0.747,1070,11.320
bar,0.091,152.178,0.790,1035,5.550
bar,0.088,153.289,0.860,1064,5.131
bar,0.090,154.298,0.768,1056,11.269
bar,0.081,155.326,0.795,1040,nan
bar,0.084,156.361,0.806,1079,11.733
bar,0.079,157.449,0.846,1080,5.590
bar,0.109,158.621,0.889,1067,9.272
bar,0.085,159.704,0.843,1037,-1.062
bar,0.095,160.656,0.731,1071,8.028
bar,0.092,161.762,0.861,1042,3.341
bar,0.091,162.860,0.854,1066,8.435
bar,0.084,164.011,0.905,1048,12.147
