Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.129,2.241,1.262,502,-1.063
bar,0.022,2.308,0.025,65,nan
bar,0.065,2.862,0.417,432,-1.062
bar,0.008,2.892,0.018,65,nan
bar,0.011,2.911,0.007,65,nan
bar,0.064,3.414,0.371,432,-1.062
bar,0.013,3.469,0.037,65,nan
bar,0.015,3.492,0.008,65,nan
bar,0.061,3.975,0.353,432,-1.062
bar,0.012,4.044,0.049,65,nan
bar,0.010,4.061,0.006,65,nan
bar,0.071,4.552,0.359,432,-1.062
bar,0.012,4.632,0.057,65,nan
bar,0.011,4.651,0.007,65,nan
bar,0.061,5.117,0.342,432,-1.062
bar,0.012,5.206,0.067,65,nan
bar,0.008,5.224,0.007,65,nan
bar,0.062,5.674,0.327,432,-1.062
bar,0.013,5.791,0.090,65,nan
bar,0.019,5.821,0.010,65,nan
bar,0.068,6.290,0.343,432,-1.062
bar,0.013,6.431,0.111,65,nan
bar,0.011,6.450,0.007,65,nan
bar,0.060,6.873,0.311,432,-1.062
bar,0.010,7.007,0.106,65,nan
bar,0.012,7.026,0.008,65,nan
bar,0.069,7.412,0.268,432,-1.062
bar,0.010,7.556,0.111,65,nan
bar,0.013,7.576,0.007,65,nan
bar,0.014,7.820,0.195,92,5.129
bar,0.048,7.954,0.073,372,-1.062
bar,0.011,8.125,0.132,65,nan
bar,0.025,8.381,0.193,153,3.066
bar,0.057,8.525,0.071,372,-1.062
bar,0.024,8.926,0.317,184,-1.061
bar,0.063,9.079,0.077,372,-1.062
bar,0.027,9.497,0.330,184,-1.061
bar,0.052,9.636,0.075,372,-1.062
bar,0.022,10.049,0.330,184,-1.061
bar,0.066,10.199,0.072,372,-1.062
bar,0.026,10.599,0.309,184,-1.061
bar,0.052,10.742,0.074,372,-1.062
bar,0.025,11.154,0.326,184,-1.061
bar,0.052,11.286,0.068,372,-1.062
bar,0.029,11.694,0.316,184,-1.061
bar,0.049,11.839,0.084,372,-1.062
bar,0.030,12.246,0.316,184,-1.061
bar,0.049,12.389,0.082,372,-1.062
bar,0.020,12.780,0.313,184,-1.061
bar,0.057,12.922,0.075,372,-1.062
bar,0.025,13.332,0.324,184,-1.061
bar,0.050,13.465,0.070,372,-1.062
bar,0.033,13.874,0.316,184,-1.061
bar,0.054,14.022,0.080,372,-1.062
bar,0.022,14.410,0.309,184,-1.061
bar,0.068,14.561,0.070,372,-1.062
bar,0.020,14.964,0.326,184,-1.061
bar,0.050,15.097,0.070,310,-1.062
bar,0.012,15.129,0.017,65,-1.065
bar,0.032,15.536,0.319,184,-1.061
bar,0.053,15.677,0.076,310,-1.062
bar,0.012,15.772,0.071,122,-1.061
bar,0.014,16.075,0.243,124,-1.062
bar,0.049,16.202,0.067,310,-1.062
bar,0.013,16.282,0.057,122,-1.061
bar,0.017,16.632,0.280,127,-1.062
bar,0.036,16.728,0.050,248,-1.062
bar,0.015,16.765,0.019,127,-1.062
bar,0.014,17.150,0.316,122,-1.061
bar,0.014,17.197,0.028,65,nan
bar,0.024,17.267,0.037,186,-1.062
bar,0.012,17.312,0.030,65,nan
bar,0.013,17.341,0.014,125,-1.060
bar,0.009,17.358,0.007,65,nan
bar,0.017,17.761,0.327,127,-1.062
bar,0.025,17.822,0.032,186,-1.062
bar,0.011,17.867,0.029,65,nan
bar,0.009,17.900,0.022,65,nan
bar,0.023,17.932,0.008,130,nan
bar,0.015,18.331,0.320,127,-1.062
bar,0.033,18.407,0.036,192,-1.062
bar,0.012,18.448,0.024,65,nan
bar,0.011,18.472,0.012,65,nan
bar,0.019,18.501,0.009,130,nan
bar,0.028,18.955,0.369,189,-1.062
bar,0.020,19.013,0.031,130,nan
bar,0.011,19.056,0.027,65,nan
bar,0.015,19.086,0.013,65,nan
bar,0.027,19.121,0.009,130,nan
bar,0.023,19.453,0.261,133,0.116
bar,0.015,19.572,0.088,127,-1.062
bar,0.019,19.625,0.027,130,nan
bar,0.009,19.683,0.043,65,nan
bar,0.011,19.702,0.006,65,nan
bar,0.010,19.937,0.191,65,nan
bar,0.016,20.025,0.056,124,-1.062
bar,0.015,20.147,0.088,127,-1.062
bar,0.021,20.213,0.040,130,nan
bar,0.013,20.274,0.042,65,nan
bar,0.018,20.300,0.007,65,nan
bar,0.010,20.534,0.191,65,nan
bar,0.024,20.635,0.065,130,nan
bar,0.012,20.758,0.097,127,-1.062
bar,0.021,20.822,0.037,130,nan
bar,0.015,20.882,0.039,65,nan
bar,0.008,20.898,0.006,65,nan
bar,0.011,21.121,0.182,65,nan
bar,0.022,21.212,0.058,130,nan
bar,0.010,21.326,0.084,127,-1.062
bar,0.026,21.392,0.034,130,nan
bar,0.011,21.442,0.033,65,nan
bar,0.011,21.462,0.008,65,nan
bar,0.010,21.690,0.182,65,nan
bar,0.027,21.798,0.071,130,nan
bar,0.014,21.947,0.121,127,-1.062
bar,0.029,22.012,0.030,130,nan
bar,0.011,22.074,0.045,65,nan
bar,0.010,22.092,0.006,65,nan
bar,0.013,22.327,0.191,95,11.320
bar,0.027,22.432,0.067,130,nan
bar,0.019,22.559,0.091,127,-1.062
bar,0.023,22.625,0.038,145,-0.275
bar,0.010,22.692,0.050,65,nan
bar,0.015,22.899,0.167,108,-0.717
bar,0.012,23.012,0.087,127,-1.062
bar,0.018,23.131,0.084,127,-1.062
bar,0.022,23.196,0.036,130,nan
bar,0.012,23.268,0.051,65,nan
bar,0.012,23.463,0.155,124,-1.062
bar,0.015,23.580,0.086,127,-1.062
bar,0.013,23.691,0.081,127,-1.062
bar,0.022,23.755,0.036,130,nan
bar,0.010,23.818,0.047,73,12.147
bar,0.014,23.997,0.142,124,-1.062
bar,0.017,24.108,0.081,124,7.192
bar,0.010,24.145,0.022,65,nan
bar,0.013,24.335,0.150,127,-1.062
bar,0.010,24.366,0.018,65,nan
