Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.382,4.006,2.209,1141,-1.062
bar,0.297,5.705,1.249,1140,-1.062
bar,0.383,7.558,1.294,1143,-1.062
bar,0.299,9.360,1.321,1152,-1.062
bar,0.285,11.012,1.181,1143,-0.946
bar,0.223,12.509,1.124,1036,1.795
bar,0.242,13.952,1.055,1059,-1.062
bar,0.267,15.286,0.932,1037,-0.178
bar,0.273,16.940,1.213,1118,-1.062
bar,0.249,18.507,1.151,1076,-0.257
bar,0.257,19.978,1.071,1070,-1.062
bar,0.313,21.602,1.149,1145,-0.961
bar,0.233,23.091,1.108,1025,-1.062
bar,0.158,24.370,0.987,1042,-0.163
bar,0.257,25.637,0.887,1077,-0.235
bar,0.234,27.211,1.196,1111,-0.979
bar,0.189,28.559,1.006,1062,2.033
bar,0.259,29.907,0.958,1062,2.033
bar,0.211,31.461,1.181,1083,2.033
bar,0.234,32.855,1.023,1051,-0.933
bar,0.274,34.087,0.844,1027,5.130
bar,0.238,35.482,1.016,1027,3.891
bar,0.248,36.899,1.030,1028,-1.062
bar,0.272,38.033,0.764,1034,-1.062
bar,0.216,39.512,1.135,1034,-1.062
bar,0.198,40.868,1.017,1025,8.858
bar,0.256,42.355,1.082,1076,5.560
bar,0.252,43.803,1.047,1068,12.174
bar,0.282,45.442,1.219,1029,1.877
bar,0.184,47.051,1.280,1035,-1.060
bar,0.153,48.454,1.100,1059,5.938
bar,0.141,49.443,0.724,1034,21.511
bar,0.141,50.405,0.701,1067,6.369
bar,0.138,51.769,1.095,1067,9.272
bar,0.140,52.706,0.679,1048,12.147
bar,0.137,53.733,0.774,1040,nan
bar,0.150,54.745,0.740,1042,8.431
bar,0.143,55.688,0.678,1069,8.433
bar,0.242,57.076,1.007,1031,3.155
bar,0.247,58.548,1.084,1035,-1.060
bar,0.228,60.060,1.148,1071,11.319
bar,0.241,61.322,0.912,1048,12.147
bar,0.171,62.827,1.216,1071,11.319
bar,0.132,63.856,0.782,1080,0.440
bar,0.145,64.823,0.711,1033,11.321
bar,0.166,65.832,0.731,1040,nan
bar,0.132,66.882,0.793,1078,11.734
bar,0.143,67.814,0.678,1040,nan
bar,0.169,68.879,0.768,1107,8.431
bar,0.139,70.263,1.105,1040,nan
bar,0.147,71.256,0.739,1033,11.321
bar,0.132,72.121,0.626,1040,nan
bar,0.149,73.175,0.778,1081,8.777
bar,0.223,74.301,0.787,1048,12.147
bar,0.257,75.941,1.236,1068,11.319
bar,0.261,77.489,1.152,1040,nan
bar,0.277,79.069,1.166,1066,8.435
bar,0.244,80.459,1.013,1045,12.150
bar,0.261,81.887,1.039,1032,5.668
bar,0.258,83.206,0.942,1074,7.469
bar,0.254,84.744,1.135,1042,9.393
bar,0.266,86.297,1.154,1077,12.267
bar,0.261,87.549,0.883,1040,nan
bar,0.265,89.148,1.183,1062,8.437
bar,0.223,90.684,1.167,1069,11.321
bar,0.263,92.248,1.165,1070,11.320
bar,0.229,93.536,0.942,1037,11.319
bar,0.267,95.117,1.161,1062,12.177
bar,0.189,96.535,1.094,1040,nan
bar,0.232,98.092,1.178,1067,9.272
bar,0.241,99.444,0.995,1040,nan
bar,0.163,100.537,0.843,1073,12.606
bar,0.144,101.621,0.826,1110,11.595
bar,0.146,102.669,0.794,1071,11.319
bar,0.130,103.594,0.686,1067,9.272
bar,0.147,104.553,0.715,1071,11.319
bar,0.178,105.702,0.891,1040,nan
bar,0.149,106.784,0.832,1029,9.397
bar,0.132,107.849,0.802,1041,11.596
bar,0.144,108.719,0.633,1040,nan
