Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.166,2.293,1.306,1059,-1.062
bar,0.134,3.341,0.795,1065,-1.062
bar,0.175,4.513,0.870,1151,-1.061
bar,0.157,5.669,0.878,1029,-1.061
bar,0.139,6.927,0.992,1034,-1.062
bar,0.146,7.877,0.711,1068,5.129
bar,0.151,8.874,0.731,1046,9.681
bar,0.150,9.814,0.688,1048,7.187
bar,0.152,10.836,0.766,1031,-1.062
bar,0.156,12.042,0.932,1075,11.735
bar,0.148,13.244,0.930,1032,2.244
bar,0.147,14.420,0.895,1040,nan
bar,0.145,15.504,0.843,1081,5.437
bar,0.158,16.731,0.942,1037,-1.062
bar,0.158,17.776,0.787,1068,7.514
bar,0.150,19.035,0.983,1059,6.396
bar,0.143,20.163,0.881,1048,12.147
bar,0.132,21.403,1.039,1040,nan
bar,0.145,22.559,0.910,1041,11.886
bar,0.147,23.556,0.750,1026,0.591
bar,0.135,24.709,0.898,1035,1.580
bar,0.157,25.765,0.783,1041,3.378
bar,0.138,26.832,0.818,1036,1.647
bar,0.168,28.379,1.253,1150,-1.062
bar,0.175,29.740,1.059,1067,5.129
bar,0.155,30.976,0.963,1025,-0.168
bar,0.169,32.478,1.185,1130,3.065
bar,0.165,33.908,1.113,1116,1.693
bar,0.161,35.318,1.107,1047,5.495
bar,0.160,36.583,0.988,1043,-1.067
bar,0.166,37.799,0.926,1040,5.545
bar,0.151,39.225,1.139,1084,4.595
bar,0.161,40.713,1.186,1102,11.319
bar,0.175,42.211,1.168,1080,2.906
bar,0.189,43.446,0.931,1033,7.192
bar,0.195,44.749,0.990,1056,-0.203
bar,0.154,46.053,1.024,1040,nan
bar,0.154,47.343,1.011,1030,10.320
bar,0.154,48.540,0.924,1074,5.931
bar,0.147,49.479,0.695,1040,nan
bar,0.155,50.771,1.013,1052,6.468
bar,0.146,51.962,0.918,1035,5.550
bar,0.157,53.216,0.996,1048,12.147
bar,0.149,54.302,0.832,1034,7.179
bar,0.146,55.410,0.862,1040,nan
bar,0.166,56.674,0.981,1048,9.949
bar,0.160,57.896,0.946,1040,nan
bar,0.142,59.130,0.969,1048,12.147
bar,0.154,60.324,0.922,1037,11.319
bar,0.146,61.291,0.719,1050,11.553
bar,0.198,62.647,1.024,1059,6.396
bar,0.179,63.948,1.009,1078,11.734
bar,0.154,65.272,1.048,1110,12.150
bar,0.156,66.384,0.858,1040,nan
bar,0.167,67.489,0.827,1091,5.213
bar,0.156,68.647,0.872,1110,5.543
bar,0.158,69.788,0.865,1053,7.744
bar,0.161,70.820,0.757,1068,5.129
bar,0.149,71.817,0.728,1044,6.544
bar,0.153,72.757,0.695,1042,5.544
bar,0.160,73.769,0.741,1034,11.321
bar,0.187,74.802,0.732,1133,5.129
bar,0.164,75.908,0.820,1089,5.213
