Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.239,2.825,1.512,1127,-1.062
bar,0.183,4.313,1.086,1124,-1.062
bar,0.173,5.802,1.060,1124,-1.062
bar,0.168,7.194,1.014,1054,-0.621
bar,0.178,8.553,0.963,1056,-1.062
bar,0.171,9.977,1.021,1153,-0.288
bar,0.182,11.420,1.017,1063,-1.062
bar,0.168,12.888,1.062,1030,-0.793
bar,0.194,14.363,1.039,1124,-1.062
bar,0.180,15.823,1.039,1124,-1.062
bar,0.165,17.245,1.031,1124,-1.062
bar,0.188,18.680,1.004,1148,-1.038
bar,0.174,20.079,1.005,1076,-1.063
bar,0.190,21.561,1.052,1134,-1.062
bar,0.194,23.036,1.046,1139,-0.119
bar,0.194,24.444,1.004,1123,-0.621
bar,0.174,25.879,1.054,1029,-1.064
bar,0.187,27.218,0.948,1055,1.415
bar,0.207,28.658,1.023,1088,-1.077
bar,0.151,29.949,0.938,1047,-1.067
bar,0.187,31.399,1.035,1066,8.435
bar,0.170,32.858,1.062,1087,5.119
bar,0.187,34.115,0.880,1071,11.319
bar,0.187,35.576,1.054,1042,2.609
bar,0.173,36.872,0.918,1030,2.316
bar,0.179,38.279,1.004,1067,11.323
bar,0.187,39.713,1.005,1071,11.319
bar,0.178,41.126,1.019,1034,-1.062
bar,0.194,42.614,1.067,1060,3.686
bar,0.169,43.878,0.886,1069,1.106
bar,0.168,45.225,0.972,1070,11.320
bar,0.172,46.651,1.034,1062,5.132
bar,0.161,48.092,1.075,1059,5.536
bar,0.200,49.445,1.012,1040,nan
bar,0.171,50.629,0.859,1059,6.396
bar,0.158,52.057,1.054,1028,3.890
bar,0.171,53.397,0.956,1061,2.218
bar,0.186,54.911,1.096,1072,2.228
bar,0.174,56.203,0.911,1028,3.777
bar,0.188,57.655,1.033,1073,-0.989
bar,0.174,58.784,0.776,1030,-1.064
bar,0.183,60.122,0.978,1040,nan
bar,0.185,61.522,1.023,1045,6.348
bar,0.167,62.957,1.037,1034,-1.062
bar,0.171,64.361,1.011,1085,4.120
bar,0.178,65.643,0.895,1055,4.244
bar,0.173,67.038,1.008,1047,0.314
bar,0.170,68.377,0.948,1066,-0.939
bar,0.169,69.730,0.956,1030,-0.982
bar,0.174,71.100,0.980,1081,-1.062
bar,0.190,72.437,0.941,1031,-1.062
bar,0.175,73.726,0.927,1039,2.240
bar,0.204,75.111,0.966,1063,-0.935
bar,0.165,76.524,1.031,1087,-1.062
bar,0.184,77.868,0.949,1050,1.002
bar,0.164,79.254,1.002,1048,0.707
bar,0.169,80.646,1.011,1046,0.486
bar,0.147,81.918,0.921,1083,-1.062
bar,0.170,83.249,0.952,1077,-1.062
bar,0.167,84.574,0.951,1043,0.314
bar,0.184,85.972,0.997,1074,-1.062
bar,0.152,87.348,1.002,1025,-0.641
bar,0.191,88.702,0.953,1077,-1.062
bar,0.168,90.036,0.956,1034,-1.134
bar,0.151,91.451,1.027,1062,1.507
bar,0.182,92.907,1.057,1062,2.033
bar,0.154,94.050,0.814,1037,-1.062
bar,0.200,95.391,0.994,1040,nan
bar,0.185,96.674,0.960,1040,nan
bar,0.191,98.090,1.011,1058,6.476
bar,0.183,99.492,1.007,1055,0.909
bar,0.146,100.728,0.891,1068,5.129
bar,0.191,102.173,1.027,1037,-1.062
bar,0.146,103.457,0.929,1040,nan
bar,0.189,104.778,0.935,1028,13.907
bar,0.177,106.188,1.034,1025,8.858
bar,0.186,107.437,0.891,1032,11.322
bar,0.197,108.949,1.086,1113,12.147
bar,0.246,110.442,1.053,1051,5.715
bar,0.173,111.943,1.151,1035,5.550
bar,0.197,113.341,0.992,1036,11.320
