Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.189,2.504,1.418,1050,-1.066
bar,0.158,3.591,0.803,1136,-1.062
bar,0.162,4.692,0.815,1051,-1.073
bar,0.152,5.804,0.834,1083,-1.061
bar,0.146,6.833,0.762,1040,-0.416
bar,0.177,7.876,0.748,1027,0.006
bar,0.160,9.021,0.855,1132,0.654
bar,0.148,10.007,0.728,1029,-1.061
bar,0.161,11.062,0.774,1070,4.056
bar,0.152,12.070,0.747,1025,-1.062
bar,0.163,13.049,0.707,1096,-1.062
bar,0.147,14.134,0.808,1034,-1.062
bar,0.142,15.141,0.756,1027,5.130
bar,0.148,16.178,0.772,1083,-1.061
bar,0.149,17.239,0.785,1086,-1.061
bar,0.145,18.292,0.798,1059,2.034
bar,0.143,19.200,0.652,1065,1.091
bar,0.156,20.207,0.730,1028,-1.062
bar,0.162,21.228,0.742,1031,-1.123
bar,0.143,22.270,0.772,1028,-1.062
bar,0.143,23.316,0.782,1028,-1.062
bar,0.149,24.250,0.685,1061,3.066
bar,0.148,25.230,0.719,1054,1.415
bar,0.161,26.264,0.757,1143,-0.117
bar,0.145,27.405,0.873,1029,-1.061
bar,0.149,28.424,0.749,1061,-1.070
bar,0.142,29.429,0.748,1062,2.033
bar,0.159,30.457,0.749,1037,-1.062
bar,0.144,31.502,0.770,1034,-1.062
bar,0.154,32.450,0.680,1040,nan
bar,0.152,33.477,0.764,1039,4.420
bar,0.146,34.392,0.666,1033,1.139
bar,0.141,35.392,0.745,1053,0.707
bar,0.144,36.346,0.702,1026,3.799
bar,0.144,37.466,0.856,1077,-1.062
bar,0.158,38.539,0.779,1077,-1.062
bar,0.147,39.615,0.804,1077,-1.062
bar,0.152,40.623,0.752,1077,-1.062
bar,0.155,41.554,0.675,1046,0.486
bar,0.146,42.587,0.769,1047,0.081
bar,0.150,43.644,0.790,1067,-0.181
bar,0.137,44.678,0.774,1059,-1.062
bar,0.151,45.648,0.716,1059,-1.062
bar,0.143,46.758,0.855,1083,-1.063
bar,0.155,47.630,0.611,1069,-1.062
bar,0.159,48.774,0.872,1069,-0.461
bar,0.165,49.922,0.859,1074,-1.062
bar,0.185,51.033,0.803,1089,-1.061
bar,0.148,52.075,0.772,1040,nan
bar,0.144,53.179,0.848,1071,11.319
bar,0.160,54.204,0.748,1037,-1.062
bar,0.141,55.075,0.637,1064,4.305
bar,0.145,56.209,0.860,1087,-1.062
bar,0.147,57.290,0.805,1070,3.788
bar,0.155,58.370,0.805,1145,-1.061
bar,0.161,59.444,0.795,1026,-1.062
bar,0.150,60.512,0.799,1056,1.001
bar,0.156,61.400,0.633,1090,-1.062
bar,0.149,62.499,0.824,1028,-1.062
bar,0.150,63.522,0.756,1055,1.002
bar,0.138,64.611,0.828,1072,1.630
bar,0.165,65.686,0.793,1126,-0.105
bar,0.156,66.747,0.780,1130,-1.062
bar,0.144,67.792,0.770,1077,-1.062
bar,0.158,68.896,0.823,1080,-1.061
bar,0.149,69.830,0.684,1027,-1.061
bar,0.169,70.947,0.818,1070,-0.979
bar,0.186,71.959,0.724,1083,-1.061
bar,0.157,73.075,0.838,1087,1.055
bar,0.170,74.163,0.783,1035,-1.064
bar,0.163,75.158,0.726,1030,5.129
bar,0.164,76.232,0.783,1061,-0.568
bar,0.148,77.316,0.816,1087,-1.062
bar,0.170,78.285,0.693,1031,-1.062
bar,0.144,79.386,0.827,1071,11.319
bar,0.140,80.344,0.717,1042,11.317
bar,0.172,81.426,0.797,1034,-1.062
bar,0.174,82.499,0.782,1040,nan
bar,0.166,83.485,0.714,1028,5.966
bar,0.150,84.545,0.794,1079,7.204
bar,0.152,85.522,0.717,1066,-0.784
bar,0.167,86.604,0.795,1049,3.339
bar,0.147,87.697,0.829,1059,12.211
bar,0.150,88.749,0.791,1070,11.320
bar,0.153,89.765,0.775,1089,0.756
bar,0.156,90.826,0.783,1084,-0.608
bar,0.147,91.890,0.787,1083,5.486
bar,0.143,92.927,0.788,1071,11.319
bar,0.159,93.991,0.787,1050,-0.220
bar,0.158,94.894,0.652,1030,5.518
bar,0.150,95.974,0.817,1040,nan
bar,0.159,97.042,0.794,1048,12.147
bar,0.161,97.954,0.654,1031,9.396
bar,0.168,99.039,0.799,1056,12.147
bar,0.165,100.132,0.820,1040,nan
bar,0.145,101.251,0.845,1070,5.320
bar,0.157,102.082,0.580,1040,nan
bar,0.153,103.148,0.793,1059,6.396
bar,0.152,104.219,0.802,1040,nan
bar,0.191,105.374,0.833,1089,12.494
bar,0.203,106.571,0.856,1143,8.047
bar,0.152,107.491,0.696,1040,nan
bar,0.151,108.446,0.731,1040,nan
bar,0.158,109.515,0.802,1074,14.731
bar,0.151,110.529,0.751,1035,5.550
bar,0.154,111.621,0.807,1074,13.846
bar,0.163,112.623,0.725,1126,8.845
bar,0.146,113.747,0.851,1040,nan
bar,0.148,114.797,0.776,1045,12.150
bar,0.162,115.780,0.735,1025,8.858
bar,0.180,116.887,0.840,1040,nan
bar,0.163,117.849,0.715,1070,11.320
bar,0.163,118.811,0.689,1037,11.319
bar,0.158,119.910,0.811,1054,4.233
bar,0.150,121.011,0.823,1067,9.272
bar,0.168,122.072,0.777,1058,5.536
bar,0.161,123.150,0.796,1040,nan
bar,0.215,124.343,0.867,1070,11.320
bar,0.163,125.395,0.805,1035,5.550
bar,0.147,126.399,0.749,1033,11.321
bar,0.150,127.443,0.772,1047,-0.186
bar,0.157,128.498,0.780,1079,11.733
bar,0.164,129.610,0.827,1043,8.849
bar,0.148,130.572,0.704,1040,nan
bar,0.169,131.630,0.778,1048,12.147
bar,0.153,132.748,0.839,1071,11.319
bar,0.169,133.738,0.717,1131,7.181
bar,0.155,134.856,0.835,1132,9.272
bar,0.149,136.004,0.868,1048,12.147
bar,0.151,137.009,0.746,1040,11.993
bar,0.159,138.142,0.834,1079,-0.299
bar,0.157,139.035,0.636,1040,nan
bar,0.171,140.160,0.827,1045,11.595
bar,0.170,141.201,0.756,1040,nan
bar,0.156,142.228,0.751,1033,7.901
bar,0.157,143.283,0.787,1036,11.320
bar,0.159,144.302,0.753,1040,nan
bar,0.155,145.379,0.796,1058,11.744
bar,0.154,146.458,0.797,1066,8.435
bar,0.156,147.463,0.732,1054,12.246
bar,0.164,148.489,0.748,1051,11.274
bar,0.153,149.562,0.803,1067,11.323
bar,0.150,150.617,0.782,1063,12.197
bar,0.152,151.697,0.816,1071,11.319
bar,0.151,152.689,0.725,1083,9.231
bar,0.147,153.715,0.767,1036,12.190
bar,0.156,154.731,0.743,1040,11.597
bar,0.178,155.868,0.834,1040,nan
bar,0.176,156.963,0.800,1035,5.550
bar,0.153,158.050,0.808,1072,11.737
bar,0.155,159.014,0.698,1065,3.065
bar,0.175,160.066,0.757,1049,11.313
bar,0.164,161.037,0.705,1033,11.321
bar,0.160,162.116,0.791,1067,9.272
bar,0.173,163.198,0.778,1040,nan
bar,0.151,164.253,0.789,1071,11.319
bar,0.147,165.330,0.806,1037,11.319
bar,0.158,166.280,0.693,1070,11.320
bar,0.160,167.374,0.821,1059,6.396
bar,0.149,168.452,0.804,1061,12.148
bar,0.147,169.449,0.751,1040,nan
bar,0.160,170.369,0.686,1035,11.320
bar,0.177,171.503,0.836,1066,8.435
bar,0.142,172.589,0.818,1040,nan
bar,0.161,173.652,0.779,1067,12.272
bar,0.178,174.675,0.742,1136,11.319
bar,0.160,175.785,0.818,1035,5.550
bar,0.159,176.834,0.785,1035,11.320
bar,0.159,177.805,0.710,1040,nan
bar,0.156,178.877,0.806,1074,2.923
bar,0.157,179.963,0.798,1071,11.319
bar,0.146,180.911,0.700,1067,9.272
bar,0.153,181.903,0.725,1045,5.543
bar,0.159,182.974,0.799,1069,11.321
bar,0.153,184.050,0.801,1040,nan
bar,0.170,185.046,0.719,1032,9.396
bar,0.184,186.354,0.994,1076,11.735
bar,0.157,187.555,0.929,1040,nan
bar,0.170,188.791,0.967,1076,7.468
bar,0.187,190.131,1.022,1066,8.435
bar,0.271,191.446,0.937,1040,nan
bar,0.167,192.696,0.952,1037,11.319
bar,0.168,193.829,0.837,1033,11.321
bar,0.173,194.948,0.826,1040,nan
bar,0.168,196.110,0.873,1071,11.319
bar,0.173,197.128,0.744,1045,5.543
bar,0.187,198.441,0.984,1113,12.147
bar,0.214,199.897,1.103,1109,10.240
bar,0.152,201.228,1.057,1067,11.323
bar,0.156,202.318,0.826,1040,nan
bar,0.169,203.415,0.807,1053,5.012
