Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.891,14.637,11.093,10393,0.547
bar,0.811,26.528,9.940,10265,1.191
bar,0.748,37.951,9.558,10263,2.066
bar,0.800,49.312,9.447,10278,4.587
bar,1.201,62.923,11.222,10241,2.414
bar,0.811,77.688,12.668,10275,3.079
bar,0.750,89.300,9.787,10296,2.296
bar,1.188,102.966,11.260,10270,2.995
bar,1.261,118.677,13.194,10283,1.442
bar,1.145,133.862,12.753,10261,2.286
bar,1.316,149.870,13.377,10295,3.704
bar,1.421,166.430,13.829,10273,2.460
bar,1.283,182.019,13.005,10259,2.555
bar,1.120,195.052,10.747,10268,2.461
bar,0.991,210.208,12.871,10331,2.139
bar,1.078,225.649,13.042,10248,0.919
bar,1.103,240.767,12.719,10294,1.089
bar,1.240,255.960,12.668,10261,3.376
bar,1.173,271.542,13.117,10337,0.668
bar,1.158,286.845,12.875,10251,1.699
bar,1.003,300.956,11.916,10245,0.978
bar,1.209,316.234,12.851,10254,1.608
bar,1.031,331.174,12.670,10275,2.298
bar,0.781,343.685,10.588,10268,1.851
bar,0.871,354.930,9.229,10292,0.723
bar,1.337,368.925,11.459,10268,1.392
bar,1.022,384.031,12.795,10259,0.986
bar,1.045,398.937,12.633,10243,0.278
bar,1.185,414.375,13.006,10282,1.349
bar,1.067,429.659,12.897,10263,0.832
bar,0.865,443.601,11.908,10258,3.241
bar,1.207,458.869,12.759,10249,2.079
bar,1.264,474.060,12.659,10277,2.278
bar,1.242,489.343,12.749,10273,1.965
bar,1.008,504.159,12.508,10244,0.813
bar,0.722,515.646,9.604,10297,1.140
bar,0.917,530.983,13.087,10289,1.589
bar,0.968,544.581,11.435,10432,1.898
bar,1.182,559.517,12.504,10256,1.048
bar,1.213,575.408,13.346,10289,1.398
bar,1.183,589.017,11.262,10293,0.740
bar,1.250,604.755,13.177,10247,1.313
bar,1.209,620.129,12.833,10281,0.550
bar,1.471,636.277,13.116,10303,-0.198
bar,1.054,649.938,11.386,10276,0.137
bar,1.072,664.863,12.587,10284,0.057
bar,1.159,679.159,11.932,10258,-0.086
bar,1.155,694.104,12.504,10256,0.295
bar,1.052,709.069,12.599,10267,1.154
bar,1.235,723.712,12.195,10254,0.160
bar,1.313,736.316,10.144,10266,0.665
bar,1.381,752.326,13.281,10278,-0.210
bar,0.957,767.414,12.874,10247,0.670
bar,1.399,780.940,10.907,10301,1.232
bar,1.237,796.626,13.164,10279,0.385
bar,1.276,812.422,13.210,10279,0.696
bar,1.280,828.292,13.251,10254,-0.236
bar,1.320,843.944,13.015,10283,0.904
bar,1.336,860.067,13.490,10268,-0.285
bar,0.807,874.670,12.552,10247,1.182
bar,1.134,888.784,11.724,10276,1.144
bar,1.287,904.564,13.217,10246,1.303
bar,0.623,917.878,11.609,10245,0.683
bar,0.730,928.454,8.825,10268,0.715
bar,0.681,939.439,9.267,10303,1.447
bar,0.663,949.891,8.781,10280,0.387
bar,0.647,960.398,8.858,10305,2.080
bar,0.654,970.975,8.892,10265,0.400
bar,0.685,981.824,9.127,10265,0.977
bar,0.623,992.205,8.718,10247,0.553
bar,0.675,1002.849,8.934,10275,0.614
bar,0.675,1013.479,8.926,10278,1.325
bar,0.612,1023.961,8.885,10270,0.923
bar,0.719,1034.573,8.876,10255,1.490
bar,0.635,1045.098,8.868,10289,1.960
bar,0.682,1055.704,8.886,10267,1.839
bar,0.706,1066.339,8.917,10251,1.400
bar,0.625,1076.820,8.819,10276,1.853
bar,0.660,1087.487,8.993,10299,1.346
bar,0.627,1097.931,8.818,10275,1.200
bar,0.683,1108.690,9.018,10299,1.401
bar,0.625,1119.325,8.981,10285,3.473
