Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
NewLearningBrain,0.068,7.587,6.920,260,nan
NewLearningBrain,0.044,13.278,5.526,260,nan
NewLearningBrain,0.034,17.744,4.351,204,8.276
NewLearningBrain,0.046,23.606,5.665,260,8.276
NewLearningBrain,0.041,29.115,5.328,245,6.668
NewLearningBrain,0.044,34.888,5.581,260,6.668
NewLearningBrain,0.044,40.626,5.543,260,6.668
NewLearningBrain,0.034,45.257,4.494,204,5.278
NewLearningBrain,0.045,51.072,5.640,260,5.278
NewLearningBrain,0.037,56.295,5.079,239,5.610
NewLearningBrain,0.044,62.115,5.651,260,5.610
NewLearningBrain,0.044,67.887,5.584,260,5.610
NewLearningBrain,0.040,73.402,5.328,246,5.913
NewLearningBrain,0.045,79.119,5.533,260,5.913
NewLearningBrain,0.043,84.961,5.653,260,5.913
NewLearningBrain,0.040,90.729,5.590,252,6.225
NewLearningBrain,0.044,96.564,5.672,260,6.225
NewLearningBrain,0.034,101.447,4.737,219,6.520
NewLearningBrain,0.044,107.212,5.578,260,6.520
NewLearningBrain,0.044,112.862,5.457,260,6.520
NewLearningBrain,0.035,117.660,4.636,213,6.714
NewLearningBrain,0.044,123.367,5.519,260,6.714
NewLearningBrain,0.037,128.484,4.944,228,5.983
NewLearningBrain,0.042,133.991,5.330,241,5.522
NewLearningBrain,0.045,139.737,5.574,260,5.522
NewLearningBrain,0.040,145.434,5.526,254,5.548
NewLearningBrain,0.044,151.247,5.628,260,5.548
NewLearningBrain,0.044,157.096,5.634,260,5.548
NewLearningBrain,0.045,162.838,5.566,260,5.548
NewLearningBrain,0.034,167.768,4.797,218,5.728
NewLearningBrain,0.045,173.597,5.636,260,5.728
NewLearningBrain,0.044,179.387,5.611,260,5.728
NewLearningBrain,0.037,184.743,5.184,233,5.554
NewLearningBrain,0.045,190.591,5.654,260,5.554
NewLearningBrain,0.045,196.449,5.675,260,5.554
NewLearningBrain,0.045,202.423,5.772,264,5.664
NewLearningBrain,0.044,208.236,5.635,260,5.664
NewLearningBrain,0.044,214.070,5.683,260,5.664
NewLearningBrain,0.037,219.404,5.169,228,5.495
NewLearningBrain,0.043,225.202,5.598,260,5.495
NewLearningBrain,0.044,230.968,5.598,260,5.495
NewLearningBrain,0.038,236.174,5.046,228,5.636
NewLearningBrain,0.044,241.974,5.621,260,5.636
NewLearningBrain,0.037,247.107,4.965,231,5.763
NewLearningBrain,0.044,252.994,5.725,260,5.763
NewLearningBrain,0.043,258.774,5.628,260,5.763
NewLearningBrain,0.041,264.513,5.582,256,5.875
NewLearningBrain,0.045,270.443,5.734,260,5.875
NewLearningBrain,0.044,276.122,5.535,260,5.875
NewLearningBrain,0.044,281.828,5.550,261,5.983
NewLearningBrain,0.044,287.568,5.534,261,5.770
NewLearningBrain,0.045,293.142,5.355,260,5.770
NewLearningBrain,0.044,298.873,5.549,262,5.873
NewLearningBrain,0.043,304.393,5.320,260,5.873
NewLearningBrain,0.035,309.164,4.605,215,5.972
NewLearningBrain,0.045,314.813,5.449,260,5.972
NewLearningBrain,0.045,320.395,5.428,260,5.972
NewLearningBrain,0.043,326.016,5.459,260,5.972
