Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
NewLearningBrain,0.160,1.966,0.852,1170,nan
NewLearningBrain,0.151,3.214,1.010,1139,1.120
NewLearningBrain,0.120,4.195,0.756,1062,1.962
NewLearningBrain,0.094,4.966,0.596,1010,1.933
NewLearningBrain,0.105,5.708,0.555,1054,1.647
NewLearningBrain,0.108,6.535,0.632,1011,2.177
NewLearningBrain,0.106,7.327,0.603,1034,1.747
NewLearningBrain,0.104,8.141,0.618,1021,0.853
NewLearningBrain,0.110,8.971,0.587,1028,-0.694
NewLearningBrain,0.097,9.810,0.649,1032,-1.257
NewLearningBrain,0.096,10.607,0.620,1040,nan
NewLearningBrain,0.111,11.451,0.642,1031,1.510
NewLearningBrain,0.122,12.233,0.584,1029,1.523
NewLearningBrain,0.104,12.924,0.514,1055,3.383
NewLearningBrain,0.128,13.830,0.690,1021,1.180
NewLearningBrain,0.106,14.703,0.681,1035,2.610
NewLearningBrain,0.109,15.540,0.587,1008,1.927
NewLearningBrain,0.108,16.343,0.613,1053,0.777
NewLearningBrain,0.106,17.144,0.611,1050,3.925
NewLearningBrain,0.102,17.965,0.623,1016,2.010
NewLearningBrain,0.103,18.854,0.692,1049,2.497
NewLearningBrain,0.100,19.623,0.588,1001,3.777
NewLearningBrain,0.105,20.297,0.496,1028,3.430
NewLearningBrain,0.101,21.085,0.595,1011,-0.220
NewLearningBrain,0.099,21.883,0.607,1060,2.275
NewLearningBrain,0.114,22.798,0.670,1105,nan
NewLearningBrain,0.132,23.705,0.684,1005,4.500
NewLearningBrain,0.151,24.599,0.652,1033,2.865
NewLearningBrain,0.159,25.583,0.720,1017,6.940
NewLearningBrain,0.113,26.506,0.713,1032,3.320
NewLearningBrain,0.105,27.246,0.553,1061,2.680
NewLearningBrain,0.106,28.189,0.741,1014,1.145
NewLearningBrain,0.110,29.055,0.657,1012,1.460
NewLearningBrain,0.119,29.941,0.677,1002,2.385
NewLearningBrain,0.109,30.710,0.529,1049,1.347
NewLearningBrain,0.109,31.551,0.642,1040,nan
NewLearningBrain,0.117,32.395,0.631,1004,6.030
NewLearningBrain,0.116,33.262,0.662,1052,1.442
NewLearningBrain,0.122,34.089,0.609,1010,2.175
NewLearningBrain,0.144,34.887,0.568,1029,0.090
NewLearningBrain,0.112,35.727,0.638,1051,0.580
NewLearningBrain,0.124,36.587,0.638,1013,-0.073
NewLearningBrain,0.107,37.392,0.619,1048,0.043
NewLearningBrain,0.103,38.230,0.612,1014,4.070
NewLearningBrain,0.104,39.004,0.574,1079,1.808
NewLearningBrain,0.098,39.817,0.624,1014,2.120
NewLearningBrain,0.100,40.523,0.531,1025,3.933
NewLearningBrain,0.095,41.271,0.574,1029,1.870
